"Arch_ID","Global_Index","d1_1","d1_2","d1_3","d1_4","D2_rideshare","D2_metro_LADOT","D2_navigation","d3_1","d3_2","d3_3","D4","D5","D6","D7","d8_1","d8_2","d8_3","d8_4","vector_representation"
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"D1=[0,0,0,1]; D2=[0,0,0]; D3=[0,0,1]; D4=0; D5=0; D6=0; D7=0; D8=[0,0,0,1]"
2,154118,1,0,0,0,1,1,2,0,1,1,4,1,0,1,0,0,0,1,"D1=[1,0,0,0]; D2=[1,1,2]; D3=[0,1,1]; D4=4; D5=1; D6=0; D7=1; D8=[0,0,0,1]"
3,269706,0,1,1,0,2,2,1,0,0,1,0,1,0,2,0,0,0,1,"D1=[0,1,1,0]; D2=[2,2,1]; D3=[0,0,1]; D4=0; D5=1; D6=0; D7=2; D8=[0,0,0,1]"
4,346765,1,0,1,0,0,1,2,0,1,1,2,0,2,2,0,0,0,1,"D1=[1,0,1,0]; D2=[0,1,2]; D3=[0,1,1]; D4=2; D5=0; D6=2; D7=2; D8=[0,0,0,1]"
5,500883,0,0,1,1,2,0,2,1,0,1,1,2,2,0,0,0,1,0,"D1=[0,0,1,1]; D2=[2,0,2]; D3=[1,0,1]; D4=1; D5=2; D6=2; D7=0; D8=[0,0,1,0]"
6,655000,1,0,1,0,0,2,1,0,0,1,1,1,0,2,0,0,1,0,"D1=[1,0,1,0]; D2=[0,2,1]; D3=[0,0,1]; D4=1; D5=1; D6=0; D7=2; D8=[0,0,1,0]"
7,732059,1,1,1,0,1,1,2,0,1,0,3,0,2,2,0,0,1,0,"D1=[1,1,1,0]; D2=[1,1,2]; D3=[0,1,0]; D4=3; D5=0; D6=2; D7=2; D8=[0,0,1,0]"
8,809117,0,0,1,0,2,1,1,0,1,1,0,0,1,0,0,0,1,1,"D1=[0,0,1,0]; D2=[2,1,1]; D3=[0,1,1]; D4=0; D5=0; D6=1; D7=0; D8=[0,0,1,1]"
9,1001764,0,1,0,0,1,1,1,0,1,1,3,1,2,1,0,0,1,1,"D1=[0,1,0,0]; D2=[1,1,1]; D3=[0,1,1]; D4=3; D5=1; D6=2; D7=1; D8=[0,0,1,1]"
10,1078823,1,0,0,0,2,0,2,1,0,0,0,1,1,2,0,0,1,1,"D1=[1,0,0,0]; D2=[2,0,2]; D3=[1,0,0]; D4=0; D5=1; D6=1; D7=2; D8=[0,0,1,1]"
11,1155882,1,1,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,"D1=[1,1,0,0]; D2=[0,0,0]; D3=[1,1,0]; D4=2; D5=0; D6=0; D7=0; D8=[0,1,0,0]"
12,1387058,1,0,0,0,2,1,1,0,1,0,4,1,2,1,0,1,0,0,"D1=[1,0,0,0]; D2=[2,1,1]; D3=[0,1,0]; D4=4; D5=1; D6=2; D7=1; D8=[0,1,0,0]"
13,1464117,1,1,0,0,0,0,2,1,0,0,1,1,1,2,0,1,0,0,"D1=[1,1,0,0]; D2=[0,0,2]; D3=[1,0,0]; D4=1; D5=1; D6=1; D7=2; D8=[0,1,0,0]"
14,1541175,1,1,1,1,1,0,0,1,0,1,3,0,0,0,0,1,0,1,"D1=[1,1,1,1]; D2=[1,0,0]; D3=[1,0,1]; D4=3; D5=0; D6=0; D7=0; D8=[0,1,0,1]"
15,1656763,1,1,0,1,2,0,2,0,1,1,4,2,2,0,0,1,0,1,"D1=[1,1,0,1]; D2=[2,0,2]; D3=[0,1,1]; D4=4; D5=2; D6=2; D7=0; D8=[0,1,0,1]"
16,1810881,0,1,1,0,0,2,2,1,1,0,3,1,0,2,0,1,0,1,"D1=[0,1,1,0]; D2=[0,2,2]; D3=[1,1,0]; D4=3; D5=1; D6=0; D7=2; D8=[0,1,0,1]"
17,1887939,1,0,0,1,1,2,0,1,1,1,0,1,2,2,0,1,0,1,"D1=[1,0,0,1]; D2=[1,2,0]; D3=[1,1,1]; D4=0; D5=1; D6=2; D7=2; D8=[0,1,0,1]"
18,2003527,0,1,1,1,2,2,2,1,0,1,1,0,2,0,0,1,1,0,"D1=[0,1,1,1]; D2=[2,2,2]; D3=[1,0,1]; D4=1; D5=0; D6=2; D7=0; D8=[0,1,1,0]"
19,2157645,1,1,1,1,1,1,1,0,0,1,1,2,2,1,0,1,1,0,"D1=[1,1,1,1]; D2=[1,1,1]; D3=[0,0,1]; D4=1; D5=2; D6=2; D7=1; D8=[0,1,1,0]"
20,2234704,0,1,0,0,2,1,0,0,1,0,3,1,1,2,0,1,1,0,"D1=[0,1,0,0]; D2=[2,1,0]; D3=[0,1,0]; D4=3; D5=1; D6=1; D7=2; D8=[0,1,1,0]"
21,2350292,0,0,1,0,0,1,2,0,0,1,4,0,1,0,0,1,1,1,"D1=[0,0,1,0]; D2=[0,1,2]; D3=[0,0,1]; D4=4; D5=0; D6=1; D7=0; D8=[0,1,1,1]"
22,2427350,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,"D1=[0,1,0,1]; D2=[1,1,0]; D3=[0,1,0]; D4=1; D5=0; D6=0; D7=1; D8=[0,1,1,1]"
23,2619997,0,1,1,1,0,1,0,0,1,0,4,1,1,2,0,1,1,1,"D1=[0,1,1,1]; D2=[0,1,0]; D3=[0,1,0]; D4=4; D5=1; D6=1; D7=2; D8=[0,1,1,1]"
24,2735585,0,1,0,1,1,1,2,1,1,1,4,0,1,0,1,0,0,0,"D1=[0,1,0,1]; D2=[1,1,2]; D3=[1,1,1]; D4=4; D5=0; D6=1; D7=0; D8=[1,0,0,0]"
