"d1_1","d1_2","d1_3","d1_4","D2_rideshare","D2_metro_LADOT","D2_navigation","d3_1","d3_2","d3_3","D4","D5","D6","D7","d8_1","d8_2","d8_3","d8_4","vector_representation","Arch_ID","Stratum"
1,0,0,0,2,1,3,1,1,1,2,0,0,3,1,1,0,1,"D1=[1,0,0,0]; D2=[2,1,3]; D3=[1,1,1]; D4=2; D5=0; D6=0; D7=3; D8=[1,1,0,1]",1,"D5=0_D6=0"
1,0,0,1,1,2,3,1,0,1,1,0,1,3,1,1,1,1,"D1=[1,0,0,1]; D2=[1,2,3]; D3=[1,0,1]; D4=1; D5=0; D6=1; D7=3; D8=[1,1,1,1]",2,"D5=0_D6=1"
0,1,0,0,1,2,3,0,1,1,1,1,1,1,1,0,0,0,"D1=[0,1,0,0]; D2=[1,2,3]; D3=[0,1,1]; D4=1; D5=1; D6=1; D7=1; D8=[1,0,0,0]",3,"D5=1_D6=1"
0,0,1,0,1,2,1,1,0,1,3,0,1,2,0,1,0,1,"D1=[0,0,1,0]; D2=[1,2,1]; D3=[1,0,1]; D4=3; D5=0; D6=1; D7=2; D8=[0,1,0,1]",4,"D5=0_D6=1"
1,0,0,1,2,2,2,0,0,1,3,1,1,2,0,1,1,1,"D1=[1,0,0,1]; D2=[2,2,2]; D3=[0,0,1]; D4=3; D5=1; D6=1; D7=2; D8=[0,1,1,1]",5,"D5=1_D6=1"
0,0,1,1,3,2,2,1,1,0,5,0,1,3,1,0,1,0,"D1=[0,0,1,1]; D2=[3,2,2]; D3=[1,1,0]; D4=5; D5=0; D6=1; D7=3; D8=[1,0,1,0]",6,"D5=0_D6=1"
1,0,1,0,2,3,3,0,1,0,2,1,1,3,1,1,0,0,"D1=[1,0,1,0]; D2=[2,3,3]; D3=[0,1,0]; D4=2; D5=1; D6=1; D7=3; D8=[1,1,0,0]",7,"D5=1_D6=1"
1,1,0,0,3,1,2,1,1,0,3,1,1,3,0,0,0,1,"D1=[1,1,0,0]; D2=[3,1,2]; D3=[1,1,0]; D4=3; D5=1; D6=1; D7=3; D8=[0,0,0,1]",8,"D5=1_D6=1"
1,1,1,0,2,2,3,0,0,1,3,0,0,3,0,1,1,1,"D1=[1,1,1,0]; D2=[2,2,3]; D3=[0,0,1]; D4=3; D5=0; D6=0; D7=3; D8=[0,1,1,1]",9,"D5=0_D6=0"
1,0,0,0,3,1,3,1,1,1,4,1,1,1,1,0,1,1,"D1=[1,0,0,0]; D2=[3,1,3]; D3=[1,1,1]; D4=4; D5=1; D6=1; D7=1; D8=[1,0,1,1]",10,"D5=1_D6=1"
0,0,1,1,3,3,1,1,1,1,2,0,0,2,0,1,1,0,"D1=[0,0,1,1]; D2=[3,3,1]; D3=[1,1,1]; D4=2; D5=0; D6=0; D7=2; D8=[0,1,1,0]",11,"D5=0_D6=0"
1,1,0,1,3,1,1,1,0,0,4,0,1,2,1,1,1,1,"D1=[1,1,0,1]; D2=[3,1,1]; D3=[1,0,0]; D4=4; D5=0; D6=1; D7=2; D8=[1,1,1,1]",12,"D5=0_D6=1"
1,1,1,0,3,1,2,0,0,1,3,1,1,3,1,0,0,0,"D1=[1,1,1,0]; D2=[3,1,2]; D3=[0,0,1]; D4=3; D5=1; D6=1; D7=3; D8=[1,0,0,0]",13,"D5=1_D6=1"
