d1_1,d1_2,d1_3,d1_4,D2_rideshare,D2_metro_LADOT,D2_navigation,d3_1,d3_2,d3_3,D4,D5,D6,D7,d8_1,d8_2,d8_3,d8_4,vector_representation,Arch_ID,Stratum,total_cost,on_schedule_delivery_risk,reliability,travel_time_reduction,prediction_accuracy,response_time,data_coverage
1,0,0,0,2,1,3,1,1,1,2,0,0,3,1,1,0,1,"D1=[1,0,0,0]; D2=[2,1,3]; D3=[1,1,1]; D4=2; D5=0; D6=0; D7=3; D8=[1,1,0,1]",1,D5=0_D6=0,1003428.154,23600,99.25,20.1,0.8577,36.99,100
1,0,0,1,1,2,3,1,0,1,1,0,1,3,1,1,1,1,"D1=[1,0,0,1]; D2=[1,2,3]; D3=[1,0,1]; D4=1; D5=0; D6=1; D7=3; D8=[1,1,1,1]",2,D5=0_D6=1,1937746,23640,98.75,20.7,0.9361,60,60
0,1,0,0,1,2,3,0,1,1,1,1,1,1,1,0,0,0,"D1=[0,1,0,0]; D2=[1,2,3]; D3=[0,1,1]; D4=1; D5=1; D6=1; D7=1; D8=[1,0,0,0]",3,D5=1_D6=1,2728497.172,22040,98,25.200000000000003,0.9361,60,60
0,0,1,0,1,2,1,1,0,1,3,0,1,2,0,1,0,1,"D1=[0,0,1,0]; D2=[1,2,1]; D3=[1,0,1]; D4=3; D5=0; D6=1; D7=2; D8=[0,1,0,1]",4,D5=0_D6=1,2146725.424,26840,98.75,20.7,0.9091499999999999,49.675,51
1,0,0,1,2,2,2,0,0,1,3,1,1,2,0,1,1,1,"D1=[1,0,0,1]; D2=[2,2,2]; D3=[0,0,1]; D4=3; D5=1; D6=1; D7=2; D8=[0,1,1,1]",5,D5=1_D6=1,3106153.795,34840,96.5,21.599999999999998,0.8552500000000001,60,30
0,0,1,1,3,2,2,1,1,0,5,0,1,3,1,0,1,0,"D1=[0,0,1,1]; D2=[3,2,2]; D3=[1,1,0]; D4=5; D5=0; D6=1; D7=3; D8=[1,0,1,0]",6,D5=0_D6=1,1696730.219,23640,98.75,20.7,0.9361,60,60
1,0,1,0,2,3,3,0,1,0,2,1,1,3,1,1,0,0,"D1=[1,0,1,0]; D2=[2,3,3]; D3=[0,1,0]; D4=2; D5=1; D6=1; D7=3; D8=[1,1,0,0]",7,D5=1_D6=1,2594791.013,31640,96.5,21.599999999999998,0.80135,39.35,0
1,1,0,0,3,1,2,1,1,0,3,1,1,3,0,0,0,1,"D1=[1,1,0,0]; D2=[3,1,2]; D3=[1,1,0]; D4=3; D5=1; D6=1; D7=3; D8=[0,0,0,1]",8,D5=1_D6=1,2779938.29,31640,98,25.200000000000003,0.9361,60,60
1,1,1,0,2,2,3,0,0,1,3,0,0,3,0,1,1,1,"D1=[1,1,1,0]; D2=[2,2,3]; D3=[0,0,1]; D4=3; D5=0; D6=0; D7=3; D8=[0,1,1,1]",9,D5=0_D6=0,1039164.313,23600,97.25,11.700000000000001,0.72295,36.99,30
1,0,0,0,3,1,3,1,1,1,4,1,1,1,1,0,1,1,"D1=[1,0,0,0]; D2=[3,1,3]; D3=[1,1,1]; D4=4; D5=1; D6=1; D7=1; D8=[1,0,1,1]",10,D5=1_D6=1,2900982.377,22040,98.5,30,0.99,60,100
0,0,1,1,3,3,1,1,1,1,2,0,0,2,0,1,1,0,"D1=[0,0,1,1]; D2=[3,3,1]; D3=[1,1,1]; D4=2; D5=0; D6=0; D7=2; D8=[0,1,1,0]",11,D5=0_D6=0,1136071.49,26800,99.25,20.1,0.8577,36.99,100
1,1,0,1,3,1,1,1,0,0,4,0,1,2,1,1,1,1,"D1=[1,1,0,1]; D2=[3,1,1]; D3=[1,0,0]; D4=4; D5=0; D6=1; D7=2; D8=[1,1,1,1]",12,D5=0_D6=1,2191395.623,26840,97.25,17.1,0.8552500000000001,60,30
1,1,1,0,3,1,2,0,0,1,3,1,1,3,1,0,0,0,"D1=[1,1,1,0]; D2=[3,1,2]; D3=[0,0,1]; D4=3; D5=1; D6=1; D7=3; D8=[1,0,0,0]",13,D5=1_D6=1,2650628.761,31640,96.5,21.599999999999998,0.8552500000000001,60,30
1,1,1,0,1,2,3,0,0,1,4,1,1,1,1,0,0,0,"D1=[1,1,1,0]; D2=[1,2,3]; D3=[0,0,1]; D4=4; D5=1; D6=1; D7=1; D8=[1,0,0,0]",14,D5=1_D6=1,2759766.311,22040,96.5,21.599999999999998,0.8552500000000001,60,30
1,1,0,1,2,2,2,1,0,1,5,0,1,2,0,1,1,1,"D1=[1,1,0,1]; D2=[2,2,2]; D3=[1,0,1]; D4=5; D5=0; D6=1; D7=2; D8=[0,1,1,1]",15,D5=0_D6=1,2209263.702,26840,98.75,20.7,0.9361,60,60
1,0,0,1,1,3,2,0,1,0,5,0,0,3,1,1,0,1,"D1=[1,0,0,1]; D2=[1,3,2]; D3=[0,1,0]; D4=5; D5=0; D6=0; D7=3; D8=[1,1,0,1]",16,D5=0_D6=0,978859.5449,23600,97.25,11.700000000000001,0.72295,36.99,30
1,0,1,0,2,1,1,1,1,1,2,0,0,1,0,1,1,0,"D1=[1,0,1,0]; D2=[2,1,1]; D3=[1,1,1]; D4=2; D5=0; D6=0; D7=1; D8=[0,1,1,0]",17,D5=0_D6=0,947631.3512,14000,99.25,20.1,0.8577,26.665,85
1,1,0,1,3,1,1,0,1,0,5,0,0,1,0,1,0,1,"D1=[1,1,0,1]; D2=[3,1,1]; D3=[0,1,0]; D4=5; D5=0; D6=0; D7=1; D8=[0,1,0,1]",18,D5=0_D6=0,1095868.311,14000,97.25,11.700000000000001,0.72295,36.99,30
0,1,0,0,3,3,2,1,1,1,2,1,1,1,1,0,0,1,"D1=[0,1,0,0]; D2=[3,3,2]; D3=[1,1,1]; D4=2; D5=1; D6=1; D7=1; D8=[1,0,0,1]",19,D5=1_D6=1,2907682.907,22040,98.5,30,0.99,39.35,0
1,0,0,0,3,3,1,0,0,1,5,0,1,2,1,0,0,1,"D1=[1,0,0,0]; D2=[3,3,1]; D3=[0,0,1]; D4=5; D5=0; D6=1; D7=2; D8=[1,0,0,1]",20,D5=0_D6=1,2128857.345,26840,97.25,17.1,0.8552500000000001,60,30
0,1,1,0,3,3,3,0,0,1,2,0,1,1,1,0,1,0,"D1=[0,1,1,0]; D2=[3,3,3]; D3=[0,0,1]; D4=2; D5=0; D6=1; D7=1; D8=[1,0,1,0]",21,D5=0_D6=1,1828137.839,14040,97.25,17.1,0.80135,39.35,0
1,1,0,1,3,3,2,0,1,1,4,0,1,1,0,1,0,1,"D1=[1,1,0,1]; D2=[3,3,2]; D3=[0,1,1]; D4=4; D5=0; D6=1; D7=1; D8=[0,1,0,1]",22,D5=0_D6=1,2063501.843,14040,98.75,20.7,0.8822,39.35,0
0,1,0,0,1,2,3,0,1,0,5,0,1,1,1,1,1,0,"D1=[0,1,0,0]; D2=[1,2,3]; D3=[0,1,0]; D4=5; D5=0; D6=1; D7=1; D8=[1,1,1,0]",23,D5=0_D6=1,1745497.971,14040,97.25,17.1,0.8552500000000001,60,30
1,0,0,1,3,1,2,0,1,1,1,1,1,2,1,0,0,1,"D1=[1,0,0,1]; D2=[3,1,2]; D3=[0,1,1]; D4=1; D5=1; D6=1; D7=2; D8=[1,0,0,1]",24,D5=1_D6=1,3139656.444,34840,98,25.200000000000003,0.9361,60,60
0,0,0,1,1,2,2,1,0,1,1,0,0,2,1,0,0,1,"D1=[0,0,0,1]; D2=[1,2,2]; D3=[1,0,1]; D4=1; D5=0; D6=0; D7=2; D8=[1,0,0,1]",25,D5=0_D6=0,1278744.862,26800,98.75,15.3,0.8038000000000001,36.99,60
0,0,1,1,2,3,3,0,1,0,4,0,0,2,0,1,0,1,"D1=[0,0,1,1]; D2=[2,3,3]; D3=[0,1,0]; D4=4; D5=0; D6=0; D7=2; D8=[0,1,0,1]",26,D5=0_D6=0,1263110.293,26800,97.25,11.700000000000001,0.66905,16.34,0
1,1,0,1,1,2,3,0,1,0,4,1,1,3,1,0,1,0,"D1=[1,1,0,1]; D2=[1,2,3]; D3=[0,1,0]; D4=4; D5=1; D6=1; D7=3; D8=[1,0,1,0]",27,D5=1_D6=1,2650628.761,31640,96.5,21.599999999999998,0.8552500000000001,60,30
0,1,0,0,3,3,3,0,1,1,5,0,0,3,0,0,1,1,"D1=[0,1,0,0]; D2=[3,3,3]; D3=[0,1,1]; D4=5; D5=0; D6=0; D7=3; D8=[0,0,1,1]",28,D5=0_D6=0,990027.0946,23600,98.75,15.3,0.7499,16.34,0
0,0,1,0,2,2,3,1,1,1,1,0,0,2,0,0,1,1,"D1=[0,0,1,0]; D2=[2,2,3]; D3=[1,1,1]; D4=1; D5=0; D6=0; D7=2; D8=[0,0,1,1]",29,D5=0_D6=0,1272044.332,26800,99.25,20.1,0.8577,36.99,100
1,1,0,1,2,1,2,1,1,1,5,0,0,3,1,1,0,1,"D1=[1,1,0,1]; D2=[2,1,2]; D3=[1,1,1]; D4=5; D5=0; D6=0; D7=3; D8=[1,1,0,1]",30,D5=0_D6=0,1059265.902,23600,99.25,20.1,0.8577,36.99,100
1,0,0,1,2,3,3,1,1,1,3,0,0,2,0,1,1,0,"D1=[1,0,0,1]; D2=[2,3,3]; D3=[1,1,1]; D4=3; D5=0; D6=0; D7=2; D8=[0,1,1,0]",31,D5=0_D6=0,1120436.92,26800,99.25,20.1,0.8577,16.34,0
0,0,0,1,1,2,3,0,1,0,2,1,1,1,1,0,0,0,"D1=[0,0,0,1]; D2=[1,2,3]; D3=[0,1,0]; D4=2; D5=1; D6=1; D7=1; D8=[1,0,0,0]",32,D5=1_D6=1,2683826.974,22040,96.5,21.599999999999998,0.8552500000000001,60,30
0,0,0,1,2,1,3,0,1,0,5,0,0,2,0,0,1,1,"D1=[0,0,0,1]; D2=[2,1,3]; D3=[0,1,0]; D4=5; D5=0; D6=0; D7=2; D8=[0,0,1,1]",33,D5=0_D6=0,1209506.054,26800,97.25,11.700000000000001,0.72295,36.99,30
0,0,1,1,3,2,1,1,1,0,5,1,1,1,1,0,1,0,"D1=[0,0,1,1]; D2=[3,2,1]; D3=[1,1,0]; D4=5; D5=1; D6=1; D7=1; D8=[1,0,1,0]",34,D5=1_D6=1,2690527.503,22040,98,25.200000000000003,0.9361,60,60
